"gene","removed","reason","m_testable","n_pass_delta","sign","median_d","min_abs_d","cm_ratio","cm_dominant","chr","is_XY","class","in_E2F_TARGETS","in_hallmark_E2F","in_shared_KO_up","is_E2f7_E2f8","d_Cardiomyocyte_P0","d_Cardiomyocyte_P7","d_Endothelial_P0","d_Endothelial_P7","d_Fibroblast_P0","d_Fibroblast_P7","d_Immune_Myeloid_P0","d_Immune_Myeloid_P7","d_Mural_Pericyte_P0","d_Mural_Pericyte_P7","d_RBC_P0","NOTE"
"Taf9",FALSE,"candidate_not_removed",11,2,"+",0.0541111864483162,0.0153436909216616,1.23,FALSE,"13",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0717,0.0541,0.0428,0.0666,0.0424,0.1507,0.0373,0.1028,0.0509,0.0825,0.0153,"descriptive_n1_sex_confounded_depth_matched"
"Glrx",FALSE,"candidate_not_removed",11,4,"+",0.0535024127293632,0.006050506594662,1.38,FALSE,"13",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.1419,0.0061,0.0535,0.0745,0.0283,0.0461,0.1773,0.2585,0.042,0.0138,0.1188,"descriptive_n1_sex_confounded_depth_matched"
"Afg3l2",FALSE,"candidate_not_removed",11,2,"+",0.0526634362527163,0.0119314525946736,2.19,FALSE,"18",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.1955,0.035,0.0788,0.0475,0.0301,0.0527,0.0997,0.0119,0.0801,0.1215,0.0298,"descriptive_n1_sex_confounded_depth_matched"
"Atp1b3",FALSE,"candidate_not_removed",11,2,"+",0.0525124087912168,0.00485395734054239,0.19,FALSE,"9",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0167,0.0049,0.0437,0.1957,0.0523,0.0525,0.0644,0.0703,0.1719,0.0556,0.0057,"descriptive_n1_sex_confounded_depth_matched"
"Eno1",FALSE,"candidate_not_removed",11,1,"+",0.0514962081752431,0.0222414301033958,1.13,FALSE,"4",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0679,0.0485,0.0222,0.0686,0.03,0.071,0.0515,0.1178,0.0492,0.0828,0.0247,"descriptive_n1_sex_confounded_depth_matched"
"Raf1",FALSE,"candidate_not_removed",11,2,"+",0.0512041477374771,0.00338781906011071,2.09,FALSE,"6",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.1317,0.0622,0.0603,0.1073,0.0512,0.0285,0.0034,0.0212,0.0309,0.0811,0.0465,"descriptive_n1_sex_confounded_depth_matched"
"Arglu1",FALSE,"candidate_not_removed",11,1,"-",-0.05104597011269,0.0127296694954722,0.79,FALSE,"8",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.0546,-0.0259,-0.0583,-0.1722,-0.0163,-0.0127,-0.0467,-0.0334,-0.0731,-0.086,-0.051,"descriptive_n1_sex_confounded_depth_matched"
"Dynlt1f",FALSE,"candidate_not_removed",11,2,"+",0.0499496023645368,0.0093655781659393,1.5,FALSE,"17",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0722,0.0499,0.0791,0.0406,0.1114,0.1276,0.0112,0.0128,0.0094,0.0329,0.0623,"descriptive_n1_sex_confounded_depth_matched"
"Hddc2",FALSE,"candidate_not_removed",11,1,"+",0.048876469814395,0.000786662569385171,0.64,FALSE,"10",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0489,0.0176,0.0418,0.0703,0.0348,0.0883,0.0517,0.1065,0.0434,0.0634,8e-04,"descriptive_n1_sex_confounded_depth_matched"
"Camk1d",FALSE,"candidate_not_removed",11,2,"-",-0.0457568170796581,0.0143057493961177,0.85,FALSE,"2",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.0275,-0.05,-0.05,-0.0305,-0.0143,-0.0817,-0.1676,-0.104,-0.0232,-0.0458,-0.0319,"descriptive_n1_sex_confounded_depth_matched"
"Bok",FALSE,"candidate_not_removed",9,2,"+",0.0443063450813258,0.00640912582377201,0.54,FALSE,"1",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0411,0.0302,0.0753,0.1219,0.0659,0.1132,0.0041,0.0019,0.0263,0.0064,0.0443,"descriptive_n1_sex_confounded_depth_matched"
"Trf",FALSE,"candidate_not_removed",7,2,"+",0.0441794574342227,0.00941263273036889,NA,FALSE,"9",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-1e-04,-5e-04,0.0442,0.0094,0.0277,0.0634,0.1076,0.3771,-0.01,-0.0057,0.0289,"descriptive_n1_sex_confounded_depth_matched"
"Gnaq",FALSE,"candidate_not_removed",11,2,"-",-0.0435516934849767,0.00731017318352009,0.15,FALSE,"19",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.0098,-0.0073,-0.0596,-0.0131,-0.0436,-0.0558,-0.251,-0.1007,-0.03,-0.0317,-0.059,"descriptive_n1_sex_confounded_depth_matched"
"Gm6142",FALSE,"candidate_not_removed",11,0,"-",-0.0412609664936844,0.00401292851975971,1.38,FALSE,"16",FALSE,"Gm",FALSE,FALSE,FALSE,FALSE,-0.0897,-0.0241,-0.0692,-0.0229,-0.0559,-0.004,-0.0365,-0.0084,-0.0878,-0.0413,-0.0458,"descriptive_n1_sex_confounded_depth_matched"
"Tor3a",FALSE,"candidate_not_removed",11,0,"+",0.0407948367978877,0.00381238884402109,0.5,FALSE,"1",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0408,0.0038,0.0443,0.0706,0.0491,0.0234,0.0605,0.0251,0.0231,0.0586,0.0277,"descriptive_n1_sex_confounded_depth_matched"
"Lrp1b",FALSE,"candidate_not_removed",11,0,"+",0.0407355347243463,0.0134533369066612,0.61,FALSE,"2",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.024,0.0259,0.0137,0.0482,0.014,0.0407,0.0538,0.0456,0.0481,0.041,0.0135,"descriptive_n1_sex_confounded_depth_matched"
"Nfkb1",FALSE,"candidate_not_removed",11,4,"-",-0.0407241949667291,0.00393935313330254,0.28,FALSE,"3",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.0039,-0.0388,-0.0328,-0.0765,-0.128,-0.0158,-0.2425,-0.278,-0.1019,-0.0407,-0.0147,"descriptive_n1_sex_confounded_depth_matched"
"Ppp4c",FALSE,"candidate_not_removed",11,2,"+",0.0402215891536402,0.0107358833515117,0.47,FALSE,"7",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0256,0.0204,0.065,0.1071,0.0335,0.1015,0.0107,0.0161,0.0402,0.0802,0.0486,"descriptive_n1_sex_confounded_depth_matched"
"Asf1a",FALSE,"candidate_not_removed",11,0,"+",0.03986294649939,0.000549751519909575,0.32,FALSE,"10",FALSE,"other",FALSE,TRUE,FALSE,FALSE,0.0166,0.0229,5e-04,0.0654,0.0086,0.0676,0.0161,0.0643,0.0399,0.0617,0.0752,"descriptive_n1_sex_confounded_depth_matched"
"Atp6v0e2",FALSE,"candidate_not_removed",8,0,"+",0.039249115560628,0.0214633828924729,2.51,FALSE,"6",FALSE,"other",FALSE,FALSE,TRUE,FALSE,0.0929,0.0772,0.0405,0.038,-0.0019,0.0032,0.0215,0.0123,0.0297,0.0217,0.093,"descriptive_n1_sex_confounded_depth_matched"
"Ralyl",FALSE,"candidate_not_removed",8,0,"+",0.0391270091857813,2.80500296988249e-05,2.6,FALSE,"3",FALSE,"other",FALSE,FALSE,TRUE,FALSE,0.0766,0.054,0,0.038,6e-04,0.0122,0.0049,0.0096,0.0088,0.0402,0.076,"descriptive_n1_sex_confounded_depth_matched"
"Clec14a",FALSE,"candidate_not_removed",8,1,"+",0.0377616425046085,0.00669604647006693,0.15,FALSE,"12",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0067,8e-04,0.1947,0.0838,0.0126,0.0547,0.0084,0.0069,0.008,0.0309,0.0447,"descriptive_n1_sex_confounded_depth_matched"
"Ndufb9",FALSE,"candidate_not_removed",11,4,"+",0.037570731938533,0.00265836855549839,0.09,FALSE,"15",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.011,0.0027,0.0285,0.1069,0.015,0.114,0.0197,0.0782,0.1188,0.1355,0.0376,"descriptive_n1_sex_confounded_depth_matched"
"Ube2l6",FALSE,"candidate_not_removed",11,1,"+",0.0374328569069866,0.0150038316091007,0.43,FALSE,"2",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0326,0.015,0.0714,0.1477,0.0199,0.0156,0.0547,0.0374,0.0369,0.0855,0.0607,"descriptive_n1_sex_confounded_depth_matched"
"9930111J21Rik2",FALSE,"candidate_not_removed",6,1,"-",-0.0370429051473697,0.00147157680789817,NA,FALSE,"11",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0,7e-04,-0.0016,-0.0903,-0.001,-0.0022,-0.0116,-0.1708,-0.0015,-0.0625,0,"descriptive_n1_sex_confounded_depth_matched"
"Gm9687",FALSE,"candidate_not_removed",11,1,"-",-0.0368709474815954,0.0206993809327702,1.11,FALSE,"1",FALSE,"Gm",FALSE,FALSE,FALSE,FALSE,-0.0608,-0.021,-0.0207,-0.0365,-0.0949,-0.0369,-0.0358,-0.034,-0.1086,-0.0497,-0.0619,"descriptive_n1_sex_confounded_depth_matched"
"Itch",FALSE,"candidate_not_removed",11,3,"-",-0.0368545878195213,0.000183487092715928,0.46,FALSE,"2",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.0143,-0.0206,-0.0369,-0.0557,-2e-04,-0.1098,-0.0084,-0.1809,-0.0377,-0.1006,-0.0117,"descriptive_n1_sex_confounded_depth_matched"
"Fbxo21",FALSE,"candidate_not_removed",11,0,"+",0.0368085462399397,0.00469733355398899,0.97,FALSE,"5",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0279,0.0432,0.0725,0.0351,0.0368,0.0198,0.0394,0.0636,0.0904,0.0356,0.0047,"descriptive_n1_sex_confounded_depth_matched"
"Cndp2",FALSE,"candidate_not_removed",11,2,"+",0.0365617832406978,0.00831574587250208,0.79,FALSE,"18",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.04,0.0179,0.0263,0.0175,0.0402,0.0083,0.1182,0.1251,0.0366,0.0413,0.0349,"descriptive_n1_sex_confounded_depth_matched"
"Tecpr2",FALSE,"candidate_not_removed",11,0,"-",-0.0362838059997789,0.00462705757936267,0.5,FALSE,"12",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.0145,-0.0301,-0.0056,-0.0363,-0.0335,-0.0522,-0.0444,-0.0663,-0.0521,-0.0046,-0.053,"descriptive_n1_sex_confounded_depth_matched"
"Tpst2",FALSE,"candidate_not_removed",11,2,"+",0.0355834906063981,0.0088496131117406,0.49,FALSE,"5",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0293,0.0111,0.1092,0.0088,0.0649,0.0239,0.0414,0.0314,0.0356,0.076,0.1782,"descriptive_n1_sex_confounded_depth_matched"
"Fam174a",FALSE,"candidate_not_removed",11,1,"+",0.0354444383534872,0.020540544066524,0.94,FALSE,"1",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0362,0.0304,0.0335,0.0354,0.0251,0.0438,0.1238,0.0803,0.0637,0.0219,0.0205,"descriptive_n1_sex_confounded_depth_matched"
"Dusp12",FALSE,"candidate_not_removed",11,0,"+",0.0353620041706202,0.010522209574527,0.9,FALSE,"1",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0531,0.0105,0.0835,0.0233,0.0554,0.021,0.0183,0.0248,0.0732,0.0354,0.0581,"descriptive_n1_sex_confounded_depth_matched"
"Cspp1",FALSE,"candidate_not_removed",11,1,"-",-0.0351130733557723,0.01262804772789,0.78,FALSE,"1",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.0208,-0.0342,-0.0126,-0.0504,-0.0212,-0.0351,-0.0489,-0.1179,-0.0355,-0.0848,-0.0266,"descriptive_n1_sex_confounded_depth_matched"
"Cdk1",FALSE,"candidate_not_removed",11,3,"+",0.0351081712451831,0.00180652855841301,1.14,FALSE,"10",FALSE,"other",TRUE,TRUE,FALSE,FALSE,0.0197,0.06,0.0275,0.1135,0.0391,0.2364,0.0103,0.0101,0.0351,0.0018,0.184,"descriptive_n1_sex_confounded_depth_matched"
"Hmgcr",FALSE,"candidate_not_removed",11,0,"+",0.0348230809788428,0.00238711757764579,0.35,FALSE,"13",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.013,0.0128,0.037,0.0109,0.0391,0.0037,0.0464,0.0348,0.0643,0.0024,0.0485,"descriptive_n1_sex_confounded_depth_matched"
"Bzw2",FALSE,"candidate_not_removed",11,1,"+",0.0341941507001555,0.0060557911736987,1.49,FALSE,"12",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0956,0.0061,0.0153,0.0463,0.0285,0.0473,0.0679,0.0342,0.0144,0.1305,0.0293,"descriptive_n1_sex_confounded_depth_matched"
"Usp22",FALSE,"candidate_not_removed",11,2,"+",0.0340053291274423,0.014137993398595,1.24,FALSE,"11",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0583,0.0257,0.0382,0.034,0.0188,0.1465,0.0141,0.03,0.0347,0.1155,0.0289,"descriptive_n1_sex_confounded_depth_matched"
"Rbm27",FALSE,"candidate_not_removed",11,0,"-",-0.0332803045925338,0.0161893746230855,1,FALSE,"18",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.0196,-0.0468,-0.0233,-0.0248,-0.0162,-0.0333,-0.0876,-0.0184,-0.0625,-0.0581,-0.0837,"descriptive_n1_sex_confounded_depth_matched"
"Nubp2",FALSE,"candidate_not_removed",11,1,"+",0.033270511218546,0.00952821217551061,0.74,FALSE,"17",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0346,0.0149,0.0333,0.0095,0.0435,0.016,0.161,0.0332,0.0666,0.0267,0.0537,"descriptive_n1_sex_confounded_depth_matched"
"Pten",FALSE,"candidate_not_removed",11,2,"-",-0.0330236663251875,0.00567717248231664,0.36,FALSE,"19",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.0236,-0.0292,-0.0891,-0.0057,-0.033,-0.1039,-0.0831,-0.1631,-0.0732,-0.009,-0.0123,"descriptive_n1_sex_confounded_depth_matched"
"Capn6",FALSE,"candidate_not_removed",8,2,"+",0.0328521972685089,0.00106508011706833,0.94,FALSE,"X",TRUE,"other",FALSE,FALSE,FALSE,FALSE,0.0382,0.0275,0.0054,0.0517,0.1466,0.1241,0.0047,0.0083,0.0011,0.0018,0.0179,"descriptive_n1_sex_confounded_depth_matched"
"Gm28035",FALSE,"candidate_not_removed",11,0,"-",-0.032390859980059,0.0116726994880597,0.6,FALSE,"2",FALSE,"Gm",FALSE,FALSE,FALSE,FALSE,-0.0124,-0.0289,-0.0668,-0.0344,-0.0485,-0.023,-0.0727,-0.0324,-0.0505,-0.0229,-0.0117,"descriptive_n1_sex_confounded_depth_matched"
"R3hdm2",FALSE,"candidate_not_removed",11,0,"-",-0.0319839519238498,0.00876976098273038,0.92,FALSE,"10",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.027,-0.0321,-0.0088,-0.032,-0.0354,-0.0465,-0.0256,-0.0323,-0.0592,-0.0182,-0.0105,"descriptive_n1_sex_confounded_depth_matched"
"Lyrm2",FALSE,"candidate_not_removed",11,1,"-",-0.0319359644917336,0.000401106044980337,3.09,TRUE,"4",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.1082,-0.0815,-0.0698,-0.0364,-0.0285,-0.0166,-0.0307,-0.0842,-0.0319,-0.0118,-4e-04,"descriptive_n1_sex_confounded_depth_matched"
"Gigyf2",FALSE,"candidate_not_removed",11,3,"-",-0.0310514490016187,0.000511922007190885,0.85,FALSE,"1",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.0013,-0.0512,-0.0143,-0.1484,-5e-04,-0.142,-0.0086,-0.0507,-0.0311,-0.1551,-0.0131,"descriptive_n1_sex_confounded_depth_matched"
"Rbm33",FALSE,"candidate_not_removed",11,0,"+",0.0309136023219876,0.00201401803685319,0.67,FALSE,"5",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0309,0.015,0.0357,0.0934,0.0135,0.0352,0.0362,0.0274,0.034,0.002,0.029,"descriptive_n1_sex_confounded_depth_matched"
"Znhit3",FALSE,"candidate_not_removed",11,0,"+",0.030108785137289,0.000466739244291622,0.42,FALSE,"11",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.03,5e-04,0.0224,0.0365,0.0443,0.0076,0.0821,0.0301,0.0486,0.0114,0.0646,"descriptive_n1_sex_confounded_depth_matched"
"Yy1",FALSE,"candidate_not_removed",11,0,"-",-0.0299454151826435,0.000166447019987359,0.6,FALSE,"12",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-2e-04,-0.0357,-0.0299,-0.0664,-0.0143,-0.0216,-0.0432,-0.0117,-0.0052,-0.0649,-0.0707,"descriptive_n1_sex_confounded_depth_matched"
"Ifit3",FALSE,"candidate_not_removed",9,1,"+",0.029728322668267,0.00526784915969257,NA,FALSE,"19",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0019,0.0011,0.0481,0.0252,0.0293,0.0053,0.0642,0.1292,0.0297,0.0347,0.015,"descriptive_n1_sex_confounded_depth_matched"
"Phgdh",FALSE,"candidate_not_removed",10,1,"+",0.0295205219611947,0.0118059811608087,1.03,FALSE,"3",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0275,0.0331,0.0346,0.0118,0.0314,0.0159,0.0304,0.0066,0.1527,0.0254,0.0286,"descriptive_n1_sex_confounded_depth_matched"
"Ttc1",FALSE,"candidate_not_removed",11,1,"-",-0.0294044224029243,0.00589562445263114,0.89,FALSE,"11",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.0194,-0.0331,-0.0173,-0.0059,-0.0294,-0.028,-0.1075,-0.0716,-0.0915,-0.0782,-0.027,"descriptive_n1_sex_confounded_depth_matched"
"Psmb9",FALSE,"candidate_not_removed",9,1,"+",0.0291963930598248,0.000916605782563862,NA,FALSE,"17",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0039,-0.0025,0.0363,0.181,0.0119,0.0292,9e-04,0.0659,0.0142,0.0309,0.0155,"descriptive_n1_sex_confounded_depth_matched"
"Bace2",FALSE,"candidate_not_removed",9,1,"+",0.029187850213395,0.0013115091562844,0.65,FALSE,"16",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0292,0.0188,0.0679,0.1029,0.0154,0.0013,0,0.0233,0.0198,0.0371,0.0517,"descriptive_n1_sex_confounded_depth_matched"
"Cry2",FALSE,"candidate_not_removed",11,2,"+",0.0276781414692395,0.00796501440460959,0.93,FALSE,"2",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0436,0.008,0.0163,0.1326,0.1016,0.0374,0.0105,0.0186,0.0277,0.0396,0.0227,"descriptive_n1_sex_confounded_depth_matched"
"Lyrm9",FALSE,"candidate_not_removed",8,1,"-",-0.0270023642853834,0.00598704067390059,4.39,TRUE,"11",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.0791,-0.0487,-0.0081,-0.0111,-0.0075,0.0126,-0.0359,-0.006,-0.0181,0.0105,-0.1239,"descriptive_n1_sex_confounded_depth_matched"
"Bc1",FALSE,"candidate_not_removed",7,0,"-",-0.02654635407123,0.0042011384646834,NA,FALSE,"7",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.0072,0.0012,-0.045,-0.0042,-0.045,-0.0099,-0.0265,0.0103,-0.0454,-0.0141,-0.0145,"descriptive_n1_sex_confounded_depth_matched"
"Gm12350",FALSE,"candidate_not_removed",6,0,"+",0.0265452721457699,0.0134351604922369,0.8,FALSE,"4",FALSE,"Gm",FALSE,FALSE,FALSE,FALSE,0.0011,0.0235,0.005,0.0296,3e-04,0.0206,0,0.0324,0.0084,0.0415,0.0134,"descriptive_n1_sex_confounded_depth_matched"
"Ankrd49",FALSE,"candidate_not_removed",11,0,"-",-0.025802951418461,0.01443821331691,1.43,FALSE,"9",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.0303,-0.0429,-0.0297,-0.0281,-0.0144,-0.0151,-0.0549,-0.0214,-0.0256,-0.0258,-0.0188,"descriptive_n1_sex_confounded_depth_matched"
"Btf3l4",FALSE,"candidate_not_removed",11,0,"+",0.0256883186613067,0.00623564583197539,1.21,FALSE,"4",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0399,0.0223,0.0062,0.0257,0.0167,0.0521,0.0212,0.014,0.0504,0.0497,0.0636,"descriptive_n1_sex_confounded_depth_matched"
"Agap3",FALSE,"candidate_not_removed",11,0,"-",-0.0256318210023622,0.000960512445976641,0.14,FALSE,"5",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.0065,-0.0023,-0.0324,-0.0561,-0.0136,-0.0426,-0.0487,-0.0211,-0.001,-0.0664,-0.0256,"descriptive_n1_sex_confounded_depth_matched"
"Fiz1",FALSE,"candidate_not_removed",11,0,"+",0.0252998512516709,0.00199579957685156,0.62,FALSE,"7",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0292,0.002,0.0396,0.0238,0.0267,0.0067,0.0253,0.011,0.0456,0.0091,0.06,"descriptive_n1_sex_confounded_depth_matched"
"Gm49909",FALSE,"candidate_not_removed",11,0,"+",0.0252956973945378,0.000948006186043446,0.51,FALSE,NA,FALSE,"Gm",FALSE,FALSE,FALSE,FALSE,0.0047,0.0212,0.0254,0.0501,0.0253,0.0783,0.0553,0.0204,0.0098,0.0422,9e-04,"descriptive_n1_sex_confounded_depth_matched"
"Zfp973",FALSE,"candidate_not_removed",11,1,"+",0.0246805698139508,0.00256583476402088,1.95,FALSE,"2",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0095,0.0867,0.0242,0.0982,0.0176,0.1225,0.0247,0.0309,0.0177,0.0846,0.0026,"descriptive_n1_sex_confounded_depth_matched"
"Gm11290",FALSE,"candidate_not_removed",6,0,"-",-0.0246755464179573,0.00759126428780724,NA,FALSE,NA,FALSE,"Gm",FALSE,FALSE,FALSE,FALSE,-0.0052,-7e-04,-0.0665,-0.0191,-0.0547,0.0018,-0.0271,0.0346,-0.0222,0.0103,-0.0076,"descriptive_n1_sex_confounded_depth_matched"
"Upf1",FALSE,"candidate_not_removed",11,1,"-",-0.0244208667742331,0.0160049772953685,0.69,FALSE,"8",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.022,-0.0222,-0.0321,-0.0244,-0.0243,-0.0509,-0.0957,-0.1061,-0.0758,-0.016,-0.0176,"descriptive_n1_sex_confounded_depth_matched"
"Dscc1",FALSE,"candidate_not_removed",11,0,"+",0.0243937540835548,0.0111046553105834,0.98,FALSE,"15",FALSE,"other",FALSE,TRUE,FALSE,FALSE,0.0222,0.0257,0.0193,0.0485,0.0245,0.0282,0.0319,0.0127,0.022,0.0111,0.0244,"descriptive_n1_sex_confounded_depth_matched"
"Oasl1",FALSE,"candidate_not_removed",6,1,"+",0.0240566583922224,0.00181406802395811,NA,FALSE,"5",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0014,0.0013,0.0385,0.0018,0.0114,0.0272,0.1147,0.0209,-0.0021,0.0094,-0.0066,"descriptive_n1_sex_confounded_depth_matched"
"Cfap97",FALSE,"candidate_not_removed",11,0,"-",-0.0239415117241137,0.0125358676069059,0.52,FALSE,"8",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.0125,-0.0199,-0.0172,-0.0873,-0.0165,-0.0628,-0.0313,-0.0529,-0.0139,-0.0441,-0.0239,"descriptive_n1_sex_confounded_depth_matched"
"Masp1",FALSE,"candidate_not_removed",9,0,"+",0.023717464334344,0.00376545899816182,3.03,TRUE,"16",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0914,0.0326,0.0043,0.0107,0.0038,0.0205,0.0237,0.0264,0.0124,0.0033,0.0516,"descriptive_n1_sex_confounded_depth_matched"
"Irgm1",FALSE,"candidate_not_removed",11,1,"+",0.0236282120565124,0.00100706715370791,0.1,FALSE,"11",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0035,0.0018,0.051,0.0385,0.0185,0.001,0.104,0.0432,0.0257,0.0025,0.0236,"descriptive_n1_sex_confounded_depth_matched"
"Gm11867",FALSE,"candidate_not_removed",11,0,"-",-0.0236105048251097,0.0150219340533098,0.63,FALSE,NA,FALSE,"Gm",FALSE,FALSE,FALSE,FALSE,-0.0174,-0.0175,-0.0236,-0.0203,-0.054,-0.015,-0.0281,-0.0279,-0.0218,-0.0693,-0.035,"descriptive_n1_sex_confounded_depth_matched"
"Gm7308",FALSE,"candidate_not_removed",10,1,"-",-0.0235340991638541,0.00249680575184982,0.29,FALSE,"6",FALSE,"Gm",FALSE,FALSE,FALSE,FALSE,-0.0171,-0.0025,-0.0427,-0.0213,-0.0645,-0.017,-0.0249,-0.0221,-0.1112,-0.0522,-0.0053,"descriptive_n1_sex_confounded_depth_matched"
"Nol3",FALSE,"candidate_not_removed",6,0,"+",0.0234158274747799,0.00667469750414286,2.23,FALSE,"8",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0953,0.0091,0.0067,0.0062,0.0086,0.0143,0,-0.0056,0.0023,0.0326,0.0683,"descriptive_n1_sex_confounded_depth_matched"
"Capn15",FALSE,"candidate_not_removed",11,0,"-",-0.0232272187165414,0.005310524830725,0.6,FALSE,"17",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.0056,-0.0232,-0.0053,-0.0427,-0.0239,-0.0248,-0.0466,-0.0121,-0.0228,-0.0088,-0.0669,"descriptive_n1_sex_confounded_depth_matched"
"Chpf2",FALSE,"candidate_not_removed",11,0,"+",0.0226877521578104,0.00229950509825338,0.53,FALSE,"5",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0184,0.0227,0.0635,0.0388,0.0966,0.0064,0.0111,0.0134,0.0023,0.0424,0.0548,"descriptive_n1_sex_confounded_depth_matched"
"Tent5c",FALSE,"candidate_not_removed",6,0,"+",0.0226143537279427,0.0020115790418135,NA,FALSE,"3",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0018,0.0053,0.0029,0.0051,-0.0011,0.0058,0.0402,0.047,0.002,-0.0062,0.091,"descriptive_n1_sex_confounded_depth_matched"
"Cd24a",FALSE,"candidate_not_removed",8,0,"+",0.0218706757818122,0.00451486515045594,2.12,FALSE,"10",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0831,0.0098,0.0221,0.0369,-3e-04,0.0048,0.0045,0.004,0.0216,0.0158,0.0534,"descriptive_n1_sex_confounded_depth_matched"
"Zfp362",FALSE,"candidate_not_removed",11,0,"+",0.0216606217708513,0.00173866771561101,0.74,FALSE,"4",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0105,0.0217,0.0137,0.0535,0.0017,0.0379,0.0079,0.0048,0.0748,0.0606,0.0219,"descriptive_n1_sex_confounded_depth_matched"
"Cmklr1",FALSE,"candidate_not_removed",7,1,"-",-0.0215699280636496,0.00126230888930165,NA,FALSE,"5",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.001,-6e-04,-0.002,-0.0013,-0.0216,-0.0558,-0.2016,-0.0791,-0.0152,0.0011,0,"descriptive_n1_sex_confounded_depth_matched"
"Eid2b",FALSE,"candidate_not_removed",11,0,"+",0.0212496265430104,0.00150269953617163,0.39,FALSE,"7",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.007,0.0109,0.0042,0.0468,0.0232,0.0475,0.0015,0.0155,0.0262,0.0212,0.0485,"descriptive_n1_sex_confounded_depth_matched"
